sexo,edad,lengua_materna,identificacion_etnic,nacionalidad_indigena,provincia_labora,canton_labora,jurisdiccion_labora,Fecha registro,RMU,Modalidad laboral,Estado,Carrera,Título,Nivel
MUJER,36,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,PUTUMAYO,BILINGUE,02/16/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,36,"KICHWA, ESPAÑOL",INDIGENA,KICHWA,SUCUMBÍOS,LAGO AGRIO,HISPANO,02/15/2021,817,CONTRATOS OCASIONALES,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
HOMBRE,37,KICHWA,INDIGENA,KICHWA,ORELLANA,LORETO,BILINGUE,11/19/2021,817,CONTRATOS OCASIONALES,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
HOMBRE,42,SHUAR CHICHAM,INDIGENA,SHUAR,ORELLANA,ORELLANA,BILINGUE,01/23/2021,817,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
MUJER,38,KICHWA,INDIGENA,KICHWA,ORELLANA,LA JOYA DE LOS SACHAS,BILINGUE,01/23/2021,817,CONTRATOS OCASIONALES,ACTIVO,EIB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION INTERCULTURAL BILINGÜE,Tercer Nivel Grado
HOMBRE,39,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,MORONA,HISPANO,01/23/2021,986,NOMBRAMIENTO,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
MUJER,42,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,CASCALES,HISPANO,01/22/2021,817,CONTRATOS OCASIONALES,ACTIVO,EB,LICENCIADO/A EN CIENCIAS DE LA EDUCACION BASICA,Tercer Nivel Grado
HOMBRE,38,SECOYA O PAICOCA,INDIGENA,SECOYA,SUCUMBÍOS,CUYABENO,BILINGUE,0,-,-,-,EIB,0,Sin título
MUJER,43,KICHWA,INDIGENA,KICHWA,CHIMBORAZO,ALAUSI,BILINGUE,01/17/2009,986,NOMBRAMIENTO,ACTIVO,EIB,PROFESOR DE EDUCACION BASICA INTERCULTURAL BILINGÜE - NIVEL TECNOLOGICO,Tercer Nivel Técnico o Tecnólogo
HOMBRE,46,KICHWA,INDIGENA,KICHWA,CHIMBORAZO,PALLATANGA,BILINGUE,0,-,-,-,EIB,0,Sin título
HOMBRE,57,KICHWA,INDIGENA,KICHWA,ORELLANA,LA JOYA DE LOS SACHAS,BILINGUE,0,527,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,0,Sin título
HOMBRE,58,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,SAN JUAN BOSCO,BILINGUE,01/05/2010,817,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,PROFESOR DE EDUCACION PRIMARIA NIVEL TECNICO SUPERIOR,Tercer Nivel Técnico o Tecnólogo
HOMBRE,38,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,SHUSHUFINDI,BILINGUE,0,-,-,-,EIB,0,Sin título
MUJER,37,KICHWA,INDIGENA,KICHWA,SUCUMBÍOS,SHUSHUFINDI,BILINGUE,02/11/2009,986,NOMBRAMIENTO,ACTIVO,EIB,PROFESOR DE EDUCACION PRIMARIA NIVEL TECNOLOGICO,Tercer Nivel Técnico o Tecnólogo
HOMBRE,37,SHUAR CHICHAM,INDIGENA,SHUAR,MORONA SANTIAGO,HUAMBOYA,BILINGUE,11/14/2011,817,CONTRATOS OCASIONALES,ACTIVO,EIB,PROFESOR DE EDUCACION BASICA INTERCULTURAL BILINGÜE NIVEL TECNOLOGICO,Tercer Nivel Técnico o Tecnólogo
HOMBRE,34,KICHWA,INDIGENA,KICHWA,PASTAZA,PASTAZA,BILINGUE,07/15/2014,986,NOMBRAMIENTO,ACTIVO,EIB,PROFESOR EN EDUCACION BASICA,Tercer Nivel Técnico o Tecnólogo
HOMBRE,39,KICHWA,INDIGENA,KICHWA,ORELLANA,LORETO,BILINGUE,08/01/2013,817,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EIB,PROFESOR DE EDUCACION BASICA INTERCULTURAL BILINGÜE NIVEL TECNOLOGICO,Tercer Nivel Técnico o Tecnólogo
HOMBRE,58,SHUAR CHICHAM,INDIGENA,SHUAR,ORELLANA,ORELLANA,HISPANO,0,675,CONTRATOS OCASIONALES,ACTIVO,EB,0,Sin título
HOMBRE,45,KICHWA,INDIGENA,KICHWA,NAPO,TENA,HISPANO,03/07/2007,817,CONTRATOS OCASIONALES,ACTIVO,EB,PROFESOR DE EDUCACION PRIMARIA-NIVEL TECNOLOGICO,Tercer Nivel Técnico o Tecnólogo
MUJER,32,ESPAÑOL,INDIGENA,KICHWA,ORELLANA,ORELLANA,HISPANO,0,527,NOMBRAMIENTO,NOMBRAMIENTO PROVISIONAL,EB,0,Sin título
